Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,60.74,,5.15,27.82,17.36,,5.34,0.58,38.8,0.34,1.39,,,0.94,2.8,,93.5,0.68,169.3,0.0,0.0,20.42,772.1,-1.11
2024-01-01 01:00:00,61.23,,4.14,25.83,14.1,,5.94,0.56,38.29,0.41,1.6,,,1.0,2.94,,92.9,1.08,126.5,0.0,0.0,20.37,772.1,-1.13
2024-01-01 02:00:00,60.49,,4.94,29.06,17.62,,5.32,0.49,39.21,0.34,1.52,,,0.91,2.9,,92.2,0.95,122.4,0.0,0.0,20.29,772.1,-1.12
2024-01-01 03:00:00,61.31,,4.38,26.62,18.32,,5.17,0.44,38.56,0.32,1.63,,,0.88,2.72,,91.63,1.35,114.56,0.0,0.0,20.35,772.1,-1.13
2024-01-01 04:00:00,64.02,,4.66,30.29,15.36,,4.99,0.55,40.33,0.29,1.53,,,0.96,2.96,,92.38,0.94,187.0,0.0,0.0,20.15,772.1,-1.17
2024-01-01 05:00:00,62.21,,4.54,28.61,16.08,,5.43,0.56,37.3,0.35,1.56,,,0.91,2.88,,91.75,0.78,176.36,0.0,0.0,20.23,772.1,-1.33
2024-01-01 06:00:00,61.0,,3.9,30.47,19.63,,6.58,0.52,38.84,0.49,1.52,,,0.87,2.95,,93.1,1.3,211.29,0.0,0.0,20.14,772.1,-1.29
2024-01-01 07:00:00,61.94,,4.44,28.66,17.26,,5.91,0.37,37.6,0.41,1.48,,,0.89,2.76,,94.42,0.72,172.91,0.0,0.0,24.59,772.1,-1.25
2024-01-01 08:00:00,62.51,,4.66,26.95,16.48,,5.84,0.55,36.81,0.4,1.58,,,0.94,3.04,,93.93,1.12,169.67,0.0,0.0,38.12,772.1,-1.13
2024-01-01 09:00:00,64.83,,4.1,28.28,18.27,,4.87,0.71,39.31,0.28,1.48,,,0.92,2.8,,91.26,1.09,176.04,0.0,0.0,59.34,772.15,-1.07
2024-01-01 10:00:00,67.55,,4.63,28.64,17.95,,,0.49,39.89,0.35,1.42,,,0.96,2.78,,87.14,0.84,194.1,0.0,0.0,85.78,772.22,-1.0
2024-01-01 11:00:00,61.63,,4.69,30.26,18.45,,,0.5,34.77,0.31,1.52,,,0.92,3.03,,82.23,0.71,141.32,0.0,0.0,131.45,772.35,-1.15
2024-01-01 12:00:00,57.43,,4.38,29.49,16.69,,,0.56,38.53,0.3,1.54,,,0.97,2.76,,76.79,0.84,145.35,0.0,0.0,168.85,772.48,-1.03
2024-01-01 13:00:00,30.24,,4.92,27.86,17.6,,,0.66,39.74,0.25,1.51,,,0.91,2.85,,75.33,1.14,105.69,0.0,0.0,139.61,772.5,-1.02
2024-01-01 14:00:00,104.18,,4.17,27.18,16.77,,,0.54,37.89,0.46,1.6,,,0.9,2.84,,75.42,1.86,91.8,0.0,0.0,144.92,772.5,-0.95
2024-01-01 15:00:00,142.84,,3.45,29.0,17.8,,,0.46,40.07,0.36,1.55,,,0.88,2.84,,73.64,1.23,147.09,0.0,0.0,125.39,772.5,-0.78
2024-01-01 16:00:00,147.66,,5.02,27.82,16.6,,,0.5,38.2,0.38,1.49,,,0.96,2.85,,79.41,1.19,141.57,0.0,0.0,52.13,772.32,-1.11
2024-01-01 17:00:00,144.99,,4.65,28.26,16.88,,,0.4,37.86,0.34,1.52,,,0.98,2.95,,83.22,0.86,127.72,0.0,0.0,21.54,772.15,-1.29
2024-01-01 18:00:00,149.72,,4.7,25.84,16.75,,,0.7,38.52,0.38,1.43,,,0.9,2.64,,85.05,1.02,161.33,0.0,0.0,19.73,772.1,-1.31
2024-01-01 19:00:00,125.13,,4.39,29.27,16.32,,,0.66,35.71,0.4,1.59,,,0.95,2.98,,86.34,1.04,159.84,0.0,0.0,20.36,772.1,-1.35
2024-01-01 20:00:00,101.93,,4.51,29.52,17.21,,,0.48,38.66,0.38,1.48,,,0.95,2.94,,87.39,1.0,197.25,0.0,0.0,20.09,772.1,-1.33
2024-01-01 21:00:00,77.41,,4.13,29.0,20.76,,,0.42,39.17,0.3,1.61,,,0.92,3.01,,91.45,1.15,177.15,0.0,0.0,20.36,772.1,-1.36
2024-01-01 22:00:00,61.21,,4.45,29.09,17.35,,,0.51,40.56,0.28,1.57,,,0.9,2.74,,93.19,0.76,161.65,0.0,0.0,20.42,772.1,-1.34
2024-01-01 23:00:00,56.61,,4.21,31.04,18.11,,,0.51,41.75,0.33,1.54,,,0.85,2.76,,93.46,1.13,157.84,0.0,0.0,20.38,772.1,-1.21
2024-01-02 00:00:00,37.88,,5.35,29.05,17.1,,,0.55,38.82,0.28,1.51,,,0.88,2.94,,92.87,1.21,165.17,0.0,0.0,20.53,772.1,-1.17
2024-01-02 01:00:00,40.93,,4.69,26.1,19.13,,,0.65,39.13,0.43,1.38,,,0.89,2.9,,92.54,1.32,204.28,0.0,0.0,20.32,772.08,-1.36
2024-01-02 02:00:00,37.54,,3.96,29.2,15.57,,,0.51,40.48,0.3,1.54,,,0.94,2.86,,92.99,0.78,175.82,0.0,0.0,20.49,772.0,-1.35
2024-01-02 03:00:00,41.36,,5.27,29.62,18.84,,,0.56,39.84,0.28,1.44,,,0.9,2.87,,92.0,0.9,169.73,0.0,0.0,20.48,772.0,-1.38
2024-01-02 04:00:00,40.97,,4.86,29.02,18.13,,,0.53,38.94,0.38,1.35,,,0.92,2.82,,92.25,1.2,162.2,0.0,0.0,20.56,772.0,-1.34
2024-01-02 05:00:00,40.15,,4.26,28.79,17.04,,,0.61,42.06,0.33,1.64,,,0.91,2.88,,89.86,0.95,175.54,0.0,0.0,20.3,772.0,-1.38
2024-01-02 06:00:00,43.5,,3.4,27.19,17.9,,,0.56,39.15,0.46,1.42,,,0.89,2.86,,89.45,1.24,200.96,0.0,0.0,20.3,772.0,-1.38
2024-01-02 07:00:00,45.37,,4.63,28.34,18.62,,,0.66,41.53,0.41,1.42,,,0.88,2.9,,90.25,1.01,167.39,0.0,0.0,24.62,772.0,-1.34
2024-01-02 08:00:00,52.83,,4.42,29.27,18.07,,,0.6,35.01,0.34,1.54,,,0.94,2.69,,89.84,1.34,195.19,0.0,0.0,43.82,772.0,-1.3
2024-01-02 09:00:00,48.61,,3.89,29.11,17.04,,,0.71,38.56,0.28,1.43,,,0.9,3.01,,85.92,0.98,157.36,0.0,0.0,72.36,772.1,-1.12
2024-01-02 10:00:00,49.7,,3.97,26.11,16.72,,,0.59,39.57,0.26,1.45,,,0.98,2.9,,82.11,1.3,204.0,0.0,0.0,117.08,772.22,-1.0
2024-01-02 11:00:00,59.5,,4.12,28.11,16.49,,,0.62,39.99,0.38,1.67,,,0.96,3.0,,73.98,1.18,165.42,0.0,0.0,283.67,772.48,-0.95
2024-01-02 12:00:00,70.08,,4.37,26.11,16.54,,5.6,0.39,39.14,0.43,1.44,,,0.87,2.76,,68.26,1.34,191.89,0.0,0.0,319.35,772.8,-0.71
2024-01-02 13:00:00,44.12,,4.18,28.13,16.86,,6.35,0.28,39.23,0.36,1.57,,,0.9,3.05,,64.44,1.44,204.64,0.0,0.0,388.98,773.1,-0.57
2024-01-02 14:00:00,84.42,,4.46,26.56,18.95,,5.93,0.41,38.83,0.42,1.35,,,0.89,3.16,,62.75,0.91,173.96,0.0,0.0,260.18,773.05,-0.57
2024-01-02 15:00:00,177.8,,4.12,30.16,18.64,,5.44,0.38,40.03,0.32,1.63,,,0.96,2.96,,66.2,1.32,180.26,0.0,0.0,148.87,772.8,-0.74
2024-01-02 16:00:00,249.33,,4.53,26.93,16.82,,5.43,0.55,40.07,0.37,1.5,,,0.94,2.84,,72.49,0.9,188.08,0.0,0.0,67.39,772.45,-0.78
2024-01-02 17:00:00,183.26,,4.16,25.47,17.61,,5.18,0.58,39.7,0.23,1.42,,,0.9,2.92,,85.47,0.78,117.77,0.0,0.0,19.04,772.12,-1.13
2024-01-02 18:00:00,180.04,,4.98,27.07,17.89,,5.02,0.46,37.65,0.35,1.48,,,0.86,2.94,,94.29,0.52,162.27,0.0,0.0,16.6,771.92,-1.26
2024-01-02 19:00:00,126.57,,4.68,27.52,17.6,,5.25,0.0,37.75,0.28,1.46,,,0.91,2.81,,95.03,0.31,153.11,0.0,0.0,18.16,771.82,-1.34
2024-01-02 20:00:00,92.85,,4.52,27.99,14.86,,5.58,0.49,41.29,0.27,1.59,,,1.0,3.15,,95.07,0.55,103.28,0.0,0.0,18.26,771.78,-1.56
2024-01-02 21:00:00,76.81,,5.03,27.93,18.69,,5.68,0.4,40.14,0.4,1.52,,,0.95,2.95,,95.09,0.62,89.86,0.0,0.0,18.69,771.7,-1.64
2024-01-02 22:00:00,71.12,,4.34,27.86,16.85,,5.08,0.56,38.43,0.36,1.48,,,0.93,3.04,,95.13,0.78,83.76,0.0,0.0,22.19,771.7,-1.64
2024-01-02 23:00:00,68.66,,4.77,29.17,17.22,,5.27,0.48,39.5,0.32,1.51,,,0.9,2.98,,95.16,1.34,203.08,0.0,0.0,22.3,771.87,-1.45
2024-01-03 00:00:00,63.23,,4.05,28.83,17.77,,4.93,0.66,39.5,0.38,1.44,,,0.93,2.78,,95.11,1.23,111.24,0.0,0.0,21.92,771.9,-1.46
2024-01-03 01:00:00,66.01,,4.8,27.67,19.14,,6.24,0.65,37.17,0.4,1.31,,,0.9,2.91,,95.1,1.37,220.88,0.0,0.0,21.81,772.0,-1.42
2024-01-03 02:00:00,76.17,,3.95,30.2,17.36,,5.67,0.53,39.67,0.36,1.32,,,0.88,2.95,,95.06,1.77,220.24,0.0,0.0,21.68,772.0,-1.36
2024-01-03 03:00:00,73.62,,4.63,27.41,17.26,,5.43,0.35,39.36,0.35,1.53,,,0.94,2.96,,95.06,1.24,200.98,0.0,0.0,21.46,772.0,-1.4
2024-01-03 04:00:00,79.27,,4.68,28.28,18.9,,5.06,0.57,36.91,0.4,1.62,,,1.0,2.94,,95.06,1.0,148.04,0.0,0.0,21.08,772.0,-1.4
2024-01-03 05:00:00,88.04,,4.48,27.78,15.97,,5.46,0.7,39.89,0.34,1.38,,,0.91,3.08,,95.06,1.1,199.33,0.0,0.0,20.8,772.0,-1.38
2024-01-03 06:00:00,89.72,,4.58,28.33,18.55,,5.64,0.56,40.98,0.44,1.5,,,0.95,2.89,,95.06,0.9,169.37,0.0,0.0,20.69,772.0,-1.42
2024-01-03 07:00:00,99.96,,4.56,29.25,19.15,,5.99,0.58,40.54,0.35,1.6,,,0.98,2.84,,95.06,0.39,167.75,0.0,0.0,23.42,772.0,-1.41
2024-01-03 08:00:00,108.33,,3.92,26.23,18.64,,5.52,0.58,39.86,0.46,1.51,,,0.93,3.01,,95.06,1.0,179.26,0.0,0.0,37.82,772.0,-1.29
2024-01-03 09:00:00,116.21,,4.39,29.09,18.42,,5.15,0.68,39.66,0.27,1.52,,,0.88,2.91,,95.0,0.77,132.5,0.0,0.0,58.32,772.05,-1.24
2024-01-03 10:00:00,,,3.62,28.74,16.36,,4.87,,38.08,0.38,1.54,,,0.92,2.85,,92.42,1.42,88.78,0.0,0.0,85.18,772.15,-1.12
2024-01-03 11:00:00,,,3.56,25.23,17.58,,,0.72,39.72,0.32,1.47,,,0.97,2.86,,85.48,1.25,123.27,0.0,0.0,134.15,772.28,-1.1
2024-01-03 12:00:00,166.79,,3.93,28.09,16.57,,46.32,0.45,40.88,0.36,1.58,,,0.86,2.95,,77.34,1.56,112.06,0.0,0.0,233.66,772.52,-0.94
2024-01-03 13:00:00,166.69,,4.7,28.28,18.16,,48.2,0.48,39.26,0.35,1.56,,,0.96,3.02,,68.28,1.17,151.12,0.0,0.0,305.31,772.9,-0.62
2024-01-03 14:00:00,157.4,,4.08,27.92,17.78,,57.46,0.36,38.92,0.27,1.32,,,0.89,3.1,,66.78,1.19,166.38,0.0,0.0,209.18,772.85,-0.65
2024-01-03 15:00:00,157.09,,4.51,28.2,17.61,,63.18,0.34,39.26,0.35,1.55,,,0.98,2.82,,68.17,1.14,174.63,0.0,0.0,139.18,772.82,-0.68
2024-01-03 16:00:00,151.76,,4.71,29.35,17.36,,71.3,0.54,38.29,0.39,1.47,,,0.87,3.24,,72.98,0.84,167.83,0.0,0.0,75.51,772.53,-0.89
2024-01-03 17:00:00,90.6,,3.66,29.78,16.34,,,0.01,41.77,0.35,1.54,,,0.92,2.64,,90.74,1.19,172.52,0.0,0.0,16.08,772.05,-1.25
2024-01-03 18:00:00,109.93,,4.27,28.16,16.18,,27.08,0.0,37.75,0.43,1.56,,,0.87,2.84,,95.0,1.07,112.32,0.0,0.0,17.22,771.98,-1.34
2024-01-03 19:00:00,135.86,,4.19,27.9,17.31,,31.68,0.0,39.3,0.28,1.56,,,0.92,2.86,,95.11,1.06,130.14,0.0,0.0,19.26,771.9,-1.4
2024-01-03 20:00:00,153.42,,4.86,26.48,17.22,,26.77,0.0,38.58,0.39,1.48,,,0.96,2.94,,95.14,1.32,97.06,0.0,0.0,20.22,771.82,-1.43
2024-01-03 21:00:00,165.72,,4.46,26.5,15.01,,12.97,0.0,37.16,0.31,1.61,,,0.91,2.74,,95.14,1.27,93.68,0.0,0.0,19.72,771.88,-1.41
2024-01-03 22:00:00,157.11,,3.58,28.26,18.63,,5.68,0.0,38.18,0.29,1.4,,,0.96,2.8,,95.16,1.42,87.56,0.0,0.0,19.43,771.8,-1.44
2024-01-03 23:00:00,143.77,,4.63,26.74,19.24,,0.37,0.0,39.21,0.3,1.47,,,0.92,2.99,,95.17,0.93,97.65,0.0,0.0,19.67,771.8,-1.46
2024-01-04 00:00:00,132.09,,5.04,29.96,18.15,,8.65,0.55,37.59,0.44,1.34,,,0.89,2.84,,95.17,0.96,81.48,0.0,0.0,19.75,771.72,-1.48
2024-01-04 01:00:00,129.26,,3.79,30.11,17.19,,4.27,0.62,39.91,0.43,1.62,,,0.91,2.84,,95.18,1.33,91.87,0.0,0.0,20.21,771.7,-1.47
2024-01-04 02:00:00,127.24,,4.54,27.96,16.68,,8.64,0.53,40.5,0.26,1.47,,,0.92,3.02,,95.19,1.23,87.82,0.0,0.0,19.81,771.7,-1.49
2024-01-04 03:00:00,127.12,,4.66,27.43,17.45,,5.48,0.66,40.28,0.37,1.6,,,0.85,2.94,,95.2,0.63,100.66,0.0,0.0,20.6,771.7,-1.48
2024-01-04 04:00:00,125.72,,4.2,29.98,16.02,,6.5,0.63,38.75,0.3,1.39,,,0.89,2.89,,95.2,0.99,112.57,0.0,0.0,19.52,771.7,-1.48
2024-01-04 05:00:00,119.14,,4.35,27.77,17.0,,3.5,0.7,39.0,0.4,1.48,,,0.92,2.99,,95.22,1.75,87.3,0.0,0.0,22.37,771.72,-1.46
2024-01-04 06:00:00,122.4,,4.37,26.46,15.65,,10.8,0.6,38.35,0.3,1.66,,,0.89,3.12,,95.22,1.82,95.61,0.0,0.0,21.52,771.8,-1.42
2024-01-04 07:00:00,138.21,,4.62,27.22,15.69,,10.82,0.7,39.87,0.4,1.55,,,0.86,2.88,,95.22,1.75,95.19,0.0,0.0,26.62,771.8,-1.41
2024-01-04 08:00:00,137.51,,4.56,28.78,19.7,,13.9,0.57,38.96,0.27,1.52,,,0.97,3.03,,95.22,1.58,91.02,0.0,0.0,43.29,771.88,-1.37
2024-01-04 09:00:00,132.97,,4.08,30.19,17.8,,12.19,0.64,38.96,0.39,1.48,,,0.9,3.04,,95.23,1.52,120.9,0.0,0.0,70.7,771.95,-1.29
2024-01-04 10:00:00,128.79,,4.39,28.54,19.16,,10.5,0.51,42.64,0.28,1.64,,,0.92,2.96,,95.2,1.5,100.06,0.0,0.0,69.93,772.1,-1.31
2024-01-04 11:00:00,126.06,,5.44,29.1,17.29,,9.72,0.25,37.98,0.26,1.55,,,0.92,2.96,,95.18,1.44,101.3,0.0,0.0,63.92,772.1,-1.28
2024-01-04 12:00:00,129.34,,4.51,29.37,17.68,,17.03,0.34,39.84,0.4,1.55,,,0.94,2.78,,95.17,1.13,108.1,0.0,0.0,72.71,772.1,-1.28
2024-01-04 13:00:00,124.3,,4.43,27.71,17.24,,26.12,0.14,41.1,0.36,1.5,,,0.88,2.94,,95.12,0.95,130.36,0.0,0.0,68.01,772.1,-1.22
2024-01-04 14:00:00,123.84,,3.64,27.31,17.58,,16.79,0.48,39.6,0.44,1.54,,,0.95,2.86,,95.12,0.88,153.54,0.0,0.0,70.86,772.18,-1.19
2024-01-04 15:00:00,126.67,,3.99,27.95,19.36,,12.02,0.31,39.76,0.29,1.52,,,0.91,2.76,,95.08,1.27,121.66,0.0,0.0,57.12,772.2,-1.08
2024-01-04 16:00:00,119.98,,5.34,28.17,17.53,,9.84,0.54,38.84,0.42,1.61,,,0.96,3.09,,95.06,1.27,112.73,0.0,0.0,33.06,772.18,-1.18
2024-01-04 17:00:00,121.41,,4.28,27.88,17.1,,8.29,0.64,38.78,0.3,1.48,,,0.94,2.96,,95.06,0.97,122.95,0.0,0.0,21.54,772.1,-1.22
2024-01-04 18:00:00,133.59,,5.42,30.61,19.0,,6.15,0.53,36.86,0.37,1.47,,,0.89,2.94,,95.08,1.13,103.38,0.0,0.0,20.31,772.1,-1.21
2024-01-04 19:00:00,135.9,,4.16,30.33,16.93,,5.04,0.46,38.28,0.42,1.54,,,0.95,2.76,,95.08,1.24,101.32,0.0,0.0,20.51,772.1,-1.19
2024-01-04 20:00:00,130.04,,4.54,27.42,17.63,,5.07,0.53,37.29,0.34,1.56,,,0.88,2.87,,95.08,0.87,141.01,0.0,0.0,20.61,772.1,-1.16
2024-01-04 21:00:00,133.46,,3.23,30.67,17.62,,4.53,0.42,34.24,0.34,1.41,,,0.88,2.92,,95.1,1.04,149.85,0.0,0.0,20.33,772.1,-1.17
2024-01-04 22:00:00,134.59,,4.45,27.25,18.87,,4.62,0.55,40.39,0.33,1.55,,,0.96,2.91,,95.12,1.09,134.39,0.0,0.0,20.21,772.1,-1.17
2024-01-04 23:00:00,129.38,,4.94,29.1,15.37,,4.86,0.51,40.03,0.33,1.36,,,1.0,2.95,,95.15,1.01,118.78,0.0,0.0,19.65,772.1,-1.16
2024-01-05 00:00:00,122.61,,4.63,28.85,16.2,,2.78,0.53,40.89,0.32,1.31,,,0.94,2.91,,95.17,1.4,113.81,0.0,0.0,20.62,772.1,-1.16
2024-01-05 01:00:00,111.39,,3.84,26.2,16.29,,0.43,0.54,41.14,0.36,1.56,,,0.94,2.86,,95.17,1.47,100.66,0.0,0.0,20.66,772.1,-1.2
2024-01-05 02:00:00,104.47,,4.11,29.1,18.35,,0.11,0.56,39.18,0.31,1.74,,,0.94,2.92,,95.19,1.48,99.7,0.0,0.0,20.65,772.1,-1.2
2024-01-05 03:00:00,95.74,,4.06,26.04,16.05,,0.06,0.48,38.8,0.32,1.42,,,0.92,2.96,,95.21,1.18,106.75,0.0,0.0,20.55,772.1,-1.19
2024-01-05 04:00:00,82.24,,3.87,30.05,16.88,,0.1,0.51,38.41,0.29,1.56,,,0.88,3.05,,95.21,1.19,121.1,0.0,0.0,20.43,772.1,-1.17
2024-01-05 05:00:00,77.8,,4.33,31.16,18.75,,0.23,0.46,37.7,0.32,1.49,,,0.93,2.94,,95.22,1.34,198.55,0.0,0.0,20.39,772.1,-1.1
2024-01-05 06:00:00,77.96,,4.71,29.82,18.27,,,0.56,40.26,0.35,1.6,,,0.86,2.88,,95.22,1.03,162.62,0.0,0.0,19.97,772.1,-1.19
2024-01-05 07:00:00,68.44,,4.86,28.81,18.2,,,0.57,40.34,0.37,1.44,,,0.92,3.05,,95.22,1.32,97.7,0.0,0.0,22.76,772.1,-1.25
2024-01-05 08:00:00,61.14,,4.45,27.85,17.26,,,0.55,39.78,0.37,1.43,,,0.87,2.96,,95.22,1.16,76.06,0.0,0.0,37.56,772.1,-1.21
2024-01-05 09:00:00,62.66,,4.63,28.55,16.92,,,0.64,38.72,0.29,1.59,,,0.89,3.12,,95.22,1.2,90.32,0.0,0.0,51.77,772.15,-1.15
2024-01-05 10:00:00,61.41,,4.36,28.98,16.75,,5.5,0.54,38.71,0.26,1.44,,,0.96,2.85,,95.21,0.64,115.68,0.0,0.0,78.32,772.2,-1.08
2024-01-05 11:00:00,62.16,,4.92,31.7,19.61,,6.06,0.56,37.53,0.28,1.53,,,0.92,2.87,,95.15,1.48,107.14,0.0,0.0,97.41,772.33,-1.01
2024-01-05 12:00:00,61.99,,3.89,28.54,19.1,,5.64,1.23,40.64,0.36,1.55,,,0.88,2.99,,95.07,1.47,95.63,0.0,0.0,60.4,772.32,-0.98
2024-01-05 13:00:00,73.07,,4.51,26.56,17.43,,4.35,0.99,40.19,0.45,1.59,,,0.98,2.9,,95.07,1.36,116.52,0.0,0.0,73.89,772.32,-0.96
2024-01-05 14:00:00,87.74,,4.24,28.82,17.06,,5.66,0.89,40.24,0.41,1.46,,,0.9,2.82,,95.04,1.12,136.83,0.0,0.0,62.41,772.4,-0.99
2024-01-05 15:00:00,94.52,,5.08,24.99,17.05,,5.42,0.63,42.15,0.32,1.45,,,0.99,3.01,,95.06,0.94,137.73,0.0,0.0,49.17,772.32,-1.03
2024-01-05 16:00:00,95.78,,4.66,27.7,18.58,,5.54,0.52,36.81,0.24,1.57,,,0.89,2.78,,95.06,0.97,170.9,0.0,0.0,29.6,772.32,-1.08
2024-01-05 17:00:00,78.23,,4.52,28.48,19.17,,5.12,0.53,39.98,0.42,1.56,,,0.97,2.89,,95.1,1.19,180.61,0.0,0.0,20.09,772.2,-1.12
2024-01-05 18:00:00,74.54,,5.01,28.68,18.68,,5.38,0.44,40.46,0.39,1.47,,,0.93,3.07,,95.08,0.81,138.5,0.0,0.0,19.95,772.2,-1.19
2024-01-05 19:00:00,78.5,,4.56,27.01,19.3,,4.89,0.33,41.3,0.33,1.44,,,0.94,2.91,,95.08,0.81,186.76,0.0,0.0,19.96,772.2,-1.19
2024-01-05 20:00:00,79.58,,3.8,26.71,17.81,,5.27,0.19,37.06,0.35,1.65,,,0.9,2.83,,95.11,1.33,161.45,0.0,0.0,19.86,772.15,-1.19
2024-01-05 21:00:00,83.12,,4.49,27.7,17.54,,4.45,0.04,35.57,0.29,1.68,,,0.92,2.95,,95.12,1.51,180.38,0.0,0.0,19.82,772.1,-1.22
2024-01-05 22:00:00,80.8,,4.14,29.44,19.08,,5.04,0.0,38.81,0.4,1.49,,,0.9,2.85,,95.14,1.11,168.62,0.0,0.0,19.61,772.1,-1.25
2024-01-05 23:00:00,75.37,,4.38,27.97,18.64,,5.53,0.0,39.68,0.33,1.46,,,0.85,2.89,,95.17,1.23,152.3,0.0,0.0,19.51,772.1,-1.3
2024-01-06 00:00:00,72.02,,4.56,25.76,18.38,,6.21,0.53,39.72,0.2,1.42,,,0.96,3.06,,95.17,1.32,118.97,0.0,0.0,19.68,772.1,-1.35
2024-01-06 01:00:00,72.82,,4.74,29.68,16.65,,5.55,0.48,40.35,0.31,1.53,,,0.89,2.92,,95.16,1.26,116.03,0.0,0.0,20.66,772.1,-1.33
2024-01-06 02:00:00,67.92,,4.35,30.02,18.84,,5.18,0.61,39.53,0.24,1.57,,,0.9,2.9,,95.14,1.06,121.96,0.0,0.0,20.72,772.1,-1.31
2024-01-06 03:00:00,64.17,,4.25,29.58,18.34,,4.89,0.68,38.5,0.31,1.58,,,0.94,2.93,,95.14,1.17,115.32,0.0,0.0,19.8,772.1,-1.33
2024-01-06 04:00:00,61.92,,4.59,28.43,16.99,,5.13,0.46,39.51,0.43,1.63,,,0.9,3.03,,95.16,1.36,118.2,0.0,0.0,19.65,772.0,-1.26
2024-01-06 05:00:00,57.4,,5.01,28.23,16.89,,5.35,0.56,37.61,0.4,1.66,,,0.87,2.96,,95.17,0.98,167.14,0.05,0.05,19.92,772.0,-1.31
2024-01-06 06:00:00,55.91,,5.05,30.94,19.05,,5.43,0.53,41.46,0.37,1.4,,,0.89,3.06,,95.17,0.98,191.22,0.0,0.0,19.7,772.0,-1.34
2024-01-06 07:00:00,54.65,,4.41,28.19,17.46,,5.41,0.61,35.74,0.21,1.59,,,0.9,3.03,,95.17,1.14,204.55,0.0,0.0,23.53,772.0,-1.36
2024-01-06 08:00:00,50.56,,4.94,28.42,16.79,,5.68,0.6,38.0,0.3,1.7,,,0.89,2.86,,95.17,1.06,191.59,0.0,0.0,44.63,772.0,-1.34
2024-01-06 09:00:00,53.12,,4.53,28.68,18.98,,6.14,0.7,37.7,0.3,1.51,,,0.96,3.0,,95.17,1.22,196.34,0.0,0.0,80.43,772.1,-1.2
2024-01-06 10:00:00,84.16,,4.21,28.04,17.29,,5.97,0.6,37.14,0.32,1.5,,,0.91,2.92,,95.12,1.53,206.99,0.0,0.0,113.72,772.2,-1.14
2024-01-06 11:00:00,109.39,,4.1,30.4,17.8,,5.83,0.5,38.22,0.32,1.48,,,0.83,2.74,,91.62,1.11,154.66,0.0,0.0,148.88,772.35,-1.02
2024-01-06 12:00:00,118.8,,4.39,28.84,16.62,,5.27,0.53,38.41,0.35,1.47,,,0.95,2.82,,84.6,1.12,149.7,0.0,0.0,139.56,772.42,-1.0
2024-01-06 13:00:00,120.57,,4.2,27.86,15.34,,5.55,0.74,38.92,0.32,1.45,,,0.92,2.95,,76.16,0.97,89.76,0.0,0.0,169.29,772.52,-0.92
2024-01-06 14:00:00,107.74,,4.92,29.3,16.32,,5.48,0.53,40.46,0.39,1.49,,,0.9,2.72,,69.72,1.48,94.87,0.0,0.0,230.7,772.7,-0.71
2024-01-06 15:00:00,98.95,,5.37,29.32,18.93,,4.93,0.46,41.26,0.36,1.48,,,0.94,3.0,,71.21,1.84,93.21,0.0,0.0,131.1,772.58,-0.77
2024-01-06 16:00:00,93.76,,3.45,30.18,18.28,,5.11,0.56,39.53,0.39,1.53,,,0.94,2.97,,75.96,1.42,93.61,0.0,0.0,70.3,772.4,-0.78
2024-01-06 17:00:00,96.13,,4.5,26.37,17.9,,5.24,0.72,41.18,0.38,1.45,,,0.84,2.81,,84.77,1.1,190.82,0.0,0.0,20.82,772.25,-0.9
2024-01-06 18:00:00,100.67,,5.32,28.63,17.61,,5.31,0.6,39.61,0.34,1.54,,,0.97,3.15,,88.37,0.9,166.07,0.0,0.0,17.69,772.13,-0.97
2024-01-06 19:00:00,119.72,,4.04,30.01,18.7,,4.59,0.52,37.58,0.38,1.53,,,0.86,2.93,,88.82,1.1,180.44,0.0,0.0,20.99,772.1,-0.99
2024-01-06 20:00:00,130.73,,3.72,29.37,16.4,,5.9,0.55,40.27,0.2,1.59,,,0.91,2.89,,92.51,0.82,159.36,0.0,0.0,20.23,772.12,-1.03
2024-01-06 21:00:00,135.82,,3.57,29.16,15.79,,5.58,0.58,37.52,0.34,1.49,,,0.88,2.77,,92.89,1.2,149.89,0.0,0.0,19.61,772.1,-1.06
2024-01-06 22:00:00,136.52,,4.11,28.58,17.14,,5.7,0.5,40.69,0.3,1.59,,,0.94,2.98,,90.61,1.2,159.22,0.0,0.0,20.43,772.1,-1.32
2024-01-06 23:00:00,128.87,,4.41,27.56,17.11,,5.13,0.54,37.42,0.5,1.53,,,0.95,2.67,,90.01,0.74,131.63,0.0,0.0,20.26,772.1,-1.11
2024-01-07 00:00:00,121.68,,5.2,29.44,16.82,,5.73,0.51,38.64,0.38,1.44,,,0.9,2.71,,90.59,1.85,94.94,0.0,0.0,19.94,772.1,-1.15
