latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
23.163443,75.76963,495.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,15.5,98,0.00,957.7,5.2,11.4,65,77
2024-01-01T01:00,14.9,99,0.00,958.4,4.6,9.8,72,98
2024-01-01T02:00,14.9,99,0.00,958.8,4.8,10.3,77,102
2024-01-01T03:00,17.1,91,0.00,959.8,5.0,10.0,69,103
2024-01-01T04:00,20.4,78,0.00,961.0,4.5,7.6,76,93
2024-01-01T05:00,23.1,65,0.00,961.1,4.5,5.7,104,108
2024-01-01T06:00,25.0,56,0.00,960.6,4.1,5.2,142,146
2024-01-01T07:00,26.5,48,0.00,959.4,5.8,7.7,210,208
2024-01-01T08:00,27.4,42,0.00,958.3,9.5,12.3,233,232
2024-01-01T09:00,27.6,40,0.00,957.6,11.6,15.2,240,239
2024-01-01T10:00,27.6,39,0.00,957.3,10.3,13.7,241,240
2024-01-01T11:00,27.0,41,0.00,957.1,8.9,12.6,243,243
2024-01-01T12:00,24.7,55,0.00,956.8,5.8,8.0,266,260
2024-01-01T13:00,21.6,67,0.00,957.5,6.9,9.0,6,344
2024-01-01T14:00,21.6,67,0.00,958.6,12.5,24.4,12,14
2024-01-01T15:00,20.3,77,0.00,959.2,14.0,25.0,35,36
2024-01-01T16:00,18.8,84,0.00,959.7,12.2,22.4,43,45
2024-01-01T17:00,17.8,87,0.00,959.4,12.7,23.7,47,49
2024-01-01T18:00,17.2,89,0.00,959.1,12.2,23.5,47,50
2024-01-01T19:00,16.7,91,0.00,958.6,10.2,20.8,58,60
2024-01-01T20:00,16.3,93,0.00,958.3,10.0,21.1,64,65
2024-01-01T21:00,15.9,95,0.00,957.8,9.7,20.3,63,67
2024-01-01T22:00,15.7,96,0.00,957.3,9.4,19.8,67,71
2024-01-01T23:00,15.4,97,0.00,957.3,7.9,17.4,74,77
2024-01-02T00:00,15.1,98,0.00,957.4,7.1,16.0,75,81
2024-01-02T01:00,14.9,98,0.00,958.4,7.1,15.5,66,78
2024-01-02T02:00,14.9,99,0.00,959.0,8.9,16.1,63,74
2024-01-02T03:00,16.2,94,0.00,959.6,9.4,12.2,67,76
2024-01-02T04:00,18.5,84,0.00,960.2,7.8,10.2,68,72
2024-01-02T05:00,21.3,73,0.00,960.4,7.8,9.9,77,80
2024-01-02T06:00,23.7,64,0.00,959.7,7.3,9.6,99,103
2024-01-02T07:00,25.4,57,0.00,958.4,8.0,10.6,144,145
2024-01-02T08:00,26.4,49,0.10,957.3,10.6,13.8,190,189
2024-01-02T09:00,27.1,45,0.00,956.7,11.4,15.1,208,208
2024-01-02T10:00,27.0,43,0.00,956.1,11.0,14.3,221,221
2024-01-02T11:00,26.5,43,0.00,956.3,10.0,14.3,229,229
2024-01-02T12:00,23.9,61,0.00,956.1,6.8,9.8,238,234
2024-01-02T13:00,23.6,53,0.00,956.9,5.1,7.7,219,229
2024-01-02T14:00,20.8,65,0.10,957.5,4.6,5.1,315,278
2024-01-02T15:00,19.6,75,0.00,958.2,10.0,18.7,13,23
2024-01-02T16:00,18.5,85,0.00,958.6,13.0,24.9,34,39
2024-01-02T17:00,17.3,89,0.00,958.8,12.7,23.3,35,39
2024-01-02T18:00,16.4,93,0.00,958.3,12.2,23.2,45,48
2024-01-02T19:00,15.8,96,0.00,957.7,10.9,21.4,44,49
2024-01-02T20:00,15.4,97,0.00,957.5,9.2,18.7,64,67
2024-01-02T21:00,15.2,98,0.00,957.0,8.5,17.5,78,81
2024-01-02T22:00,15.0,98,0.00,956.7,6.4,15.2,74,85
2024-01-02T23:00,14.7,99,0.00,956.5,5.8,14.2,60,81
2024-01-03T00:00,14.6,99,0.00,956.6,6.2,14.5,80,96
2024-01-03T01:00,15.4,99,0.00,957.6,7.6,15.0,98,114
2024-01-03T02:00,15.5,99,0.00,957.9,7.2,12.2,84,114
2024-01-03T03:00,16.6,94,0.00,958.9,6.1,11.3,93,117
2024-01-03T04:00,18.7,84,0.00,959.8,2.5,3.3,45,77
2024-01-03T05:00,21.4,73,0.00,960.0,3.0,4.0,76,95
2024-01-03T06:00,23.5,64,0.00,959.3,3.4,4.6,122,129
2024-01-03T07:00,24.6,58,0.00,958.1,4.8,6.2,193,190
2024-01-03T08:00,25.2,55,0.10,957.1,5.4,6.6,228,225
2024-01-03T09:00,25.1,54,0.10,956.3,7.8,9.7,257,255
2024-01-03T10:00,24.6,54,0.40,956.1,8.7,11.2,265,264
2024-01-03T11:00,23.4,58,0.00,956.0,8.0,10.4,324,326
2024-01-03T12:00,21.1,70,0.20,956.6,12.6,20.1,340,345
2024-01-03T13:00,19.1,82,0.00,956.5,11.0,20.8,38,37
2024-01-03T14:00,18.3,86,0.00,957.5,9.7,20.2,39,39
2024-01-03T15:00,17.3,90,0.00,958.1,9.7,19.7,31,35
2024-01-03T16:00,16.5,92,0.00,958.5,7.5,17.5,35,37
2024-01-03T17:00,15.9,94,0.00,958.4,9.7,20.1,39,43
2024-01-03T18:00,15.5,96,0.00,958.1,10.7,21.3,50,51
2024-01-03T19:00,15.0,97,0.00,957.6,10.5,20.9,41,46
2024-01-03T20:00,14.6,98,0.00,957.6,10.9,21.2,27,35
2024-01-03T21:00,14.6,98,0.00,956.8,11.7,21.8,34,39
2024-01-03T22:00,14.2,98,0.00,957.2,7.6,16.8,59,55
2024-01-03T23:00,14.9,96,0.00,957.5,8.9,16.4,43,52
2024-01-04T00:00,15.4,95,0.00,957.7,10.7,15.6,48,52
2024-01-04T01:00,15.9,94,0.00,959.0,9.7,13.6,51,53
2024-01-04T02:00,16.1,94,0.00,959.6,9.8,13.4,62,63
2024-01-04T03:00,16.6,92,0.00,960.4,10.5,13.7,59,60
2024-01-04T04:00,17.1,90,0.00,961.1,8.4,10.6,65,66
2024-01-04T05:00,18.3,85,0.00,961.2,8.7,10.9,83,84
2024-01-04T06:00,19.6,78,0.00,960.3,5.9,7.2,104,108
2024-01-04T07:00,20.9,73,0.00,959.1,4.4,5.2,99,106
2024-01-04T08:00,22.1,67,0.00,957.9,3.3,3.9,49,56
2024-01-04T09:00,22.7,63,0.00,957.0,5.6,6.9,45,47
2024-01-04T10:00,23.0,61,0.00,956.6,6.6,8.4,45,47
2024-01-04T11:00,22.4,63,0.20,956.4,6.8,8.6,32,33
2024-01-04T12:00,20.8,71,0.10,956.7,5.4,12.0,42,41
2024-01-04T13:00,18.9,82,0.00,957.0,9.8,19.2,28,30
2024-01-04T14:00,18.2,86,0.00,957.6,12.0,24.0,39,40
2024-01-04T15:00,17.8,87,0.00,958.3,10.7,20.9,48,49
2024-01-04T16:00,17.2,89,0.00,958.7,10.2,21.3,51,53
2024-01-04T17:00,16.7,92,0.00,958.6,9.7,20.3,59,60
2024-01-04T18:00,16.2,95,0.00,958.3,8.3,18.4,56,59
2024-01-04T19:00,15.6,97,0.00,957.9,6.7,16.4,54,61
2024-01-04T20:00,15.2,98,0.00,957.5,6.1,15.2,45,59
2024-01-04T21:00,15.2,99,0.00,957.2,6.9,15.4,47,57
2024-01-04T22:00,15.4,99,0.00,956.8,8.4,17.1,47,55
2024-01-04T23:00,15.8,98,0.00,956.7,8.4,16.1,43,50
2024-01-05T00:00,15.9,97,0.00,957.4,7.7,11.3,79,81
2024-01-05T01:00,14.9,99,0.00,958.5,9.0,12.1,53,60
2024-01-05T02:00,15.4,97,0.00,959.0,8.8,12.1,55,60
2024-01-05T03:00,15.9,95,0.00,959.6,9.8,12.5,54,57
2024-01-05T04:00,16.9,90,0.00,960.3,9.8,12.4,54,54
2024-01-05T05:00,18.1,84,0.00,960.3,7.5,9.4,55,58
2024-01-05T06:00,19.5,77,0.00,959.8,5.9,7.3,79,79
2024-01-05T07:00,20.2,74,0.00,958.9,4.3,5.1,48,51
2024-01-05T08:00,21.3,68,0.10,957.9,2.3,2.7,18,23
2024-01-05T09:00,22.0,64,0.10,957.3,2.2,2.6,351,344
2024-01-05T10:00,22.3,61,0.00,956.9,2.3,2.7,342,337
2024-01-05T11:00,22.2,60,0.00,957.2,3.7,4.9,349,343
2024-01-05T12:00,20.2,74,0.00,957.3,5.5,8.4,23,10
2024-01-05T13:00,17.6,84,0.00,957.9,7.2,17.1,6,7
2024-01-05T14:00,16.8,88,0.00,958.4,10.2,21.2,10,15
2024-01-05T15:00,16.0,92,0.00,959.3,10.6,22.4,24,26
2024-01-05T16:00,15.2,95,0.00,959.7,11.4,22.3,28,31
2024-01-05T17:00,14.5,97,0.00,960.1,11.8,22.7,31,33
2024-01-05T18:00,13.9,98,0.00,959.6,10.8,21.0,37,38
2024-01-05T19:00,13.7,99,0.00,959.3,9.4,19.1,43,44
2024-01-05T20:00,14.0,99,0.00,959.0,9.7,17.8,45,48
2024-01-05T21:00,14.4,97,0.00,958.8,9.7,17.6,48,49
2024-01-05T22:00,14.9,95,0.00,958.5,8.9,16.4,47,50
2024-01-05T23:00,15.2,94,0.00,958.2,8.9,16.7,47,53
2024-01-06T00:00,15.4,93,0.00,958.6,7.9,15.4,47,53
2024-01-06T01:00,15.8,95,0.00,959.8,9.2,17.0,51,58
2024-01-06T02:00,15.4,97,0.00,960.2,7.4,15.5,51,59
2024-01-06T03:00,16.5,89,0.00,961.1,9.0,14.0,61,64
2024-01-06T04:00,18.1,79,0.00,961.8,9.8,13.0,66,66
2024-01-06T05:00,19.6,74,0.00,961.8,9.5,12.1,53,53
2024-01-06T06:00,21.0,69,0.00,960.9,10.0,12.6,52,53
2024-01-06T07:00,22.0,63,0.00,959.9,9.7,12.6,51,53
2024-01-06T08:00,22.8,58,0.00,958.9,8.9,11.0,50,52
2024-01-06T09:00,23.2,54,0.00,958.3,8.7,11.2,45,48
2024-01-06T10:00,23.2,52,0.00,958.1,10.2,13.0,42,44
2024-01-06T11:00,22.6,53,0.00,958.1,11.3,15.6,37,40
2024-01-06T12:00,20.9,59,0.00,958.4,8.7,17.9,30,34
2024-01-06T13:00,17.4,74,0.00,959.1,6.6,16.2,22,32
2024-01-06T14:00,16.4,78,0.00,959.8,7.6,18.0,31,37
2024-01-06T15:00,15.8,79,0.00,960.2,9.2,20.4,31,41
2024-01-06T16:00,15.0,84,0.00,960.8,9.8,21.4,36,42
2024-01-06T17:00,14.5,85,0.00,960.7,10.9,23.2,46,49
2024-01-06T18:00,14.2,85,0.00,960.5,11.2,23.6,50,52
2024-01-06T19:00,13.7,87,0.00,960.1,11.1,23.1,54,56
2024-01-06T20:00,13.2,91,0.00,959.6,10.8,22.3,53,56
2024-01-06T21:00,12.6,95,0.00,959.2,10.6,22.0,55,58
2024-01-06T22:00,12.4,96,0.00,958.8,10.6,21.6,55,60
2024-01-06T23:00,12.2,97,0.00,958.6,11.3,22.2,53,58
2024-01-07T00:00,12.1,98,0.00,958.9,10.8,21.2,53,58
2024-01-07T01:00,12.7,97,0.00,960.2,10.6,20.0,55,60
2024-01-07T02:00,13.7,93,0.00,960.9,10.6,16.9,62,63
2024-01-07T03:00,14.5,90,0.00,962.2,10.7,15.2,76,76
2024-01-07T04:00,15.5,87,0.00,963.1,10.5,13.8,82,81
2024-01-07T05:00,15.9,87,0.40,963.2,8.5,11.7,78,79
2024-01-07T06:00,16.4,88,0.50,962.4,8.2,11.3,61,63
2024-01-07T07:00,17.2,87,0.20,961.3,10.5,14.4,63,68
2024-01-07T08:00,19.1,80,0.00,960.4,8.7,11.3,60,63
2024-01-07T09:00,19.8,77,0.00,959.5,8.7,11.7,52,56
2024-01-07T10:00,20.3,74,0.00,959.0,11.5,15.3,44,47
2024-01-07T11:00,20.0,75,0.00,958.9,11.6,15.5,60,62
2024-01-07T12:00,18.9,79,0.00,958.8,10.3,18.2,61,63
2024-01-07T13:00,17.7,84,0.10,959.2,11.2,20.7,50,55
2024-01-07T14:00,16.8,89,0.00,959.9,10.2,20.3,48,57
2024-01-07T15:00,16.4,89,0.50,960.5,9.7,18.8,59,61
2024-01-07T16:00,16.0,92,0.70,960.7,13.9,24.8,73,73
2024-01-07T17:00,15.5,93,0.20,960.9,12.0,22.5,81,83
2024-01-07T18:00,15.2,94,0.80,960.4,11.7,22.2,101,98
2024-01-07T19:00,15.1,95,0.00,959.9,13.0,24.6,104,102
2024-01-07T20:00,15.1,95,0.30,959.5,11.7,23.1,108,105
2024-01-07T21:00,15.0,95,0.30,959.2,10.4,22.0,110,108
2024-01-07T22:00,15.0,95,0.00,959.0,7.9,18.6,106,105
2024-01-07T23:00,15.0,95,0.10,959.1,7.6,17.0,95,103
2024-01-08T00:00,14.7,96,0.10,959.1,7.3,16.6,81,92
2024-01-08T01:00,15.1,93,0.00,960.1,8.0,19.0,98,109
2024-01-08T02:00,15.2,93,0.00,960.7,8.8,19.7,99,108
2024-01-08T03:00,16.7,91,0.00,961.7,9.4,18.7,88,106
2024-01-08T04:00,18.5,86,0.00,962.7,7.1,11.2,105,111
2024-01-08T05:00,20.0,81,0.00,963.2,5.8,7.6,112,115
2024-01-08T06:00,21.3,74,0.10,962.1,11.2,14.5,130,132
2024-01-08T07:00,22.9,66,0.00,960.8,8.7,11.3,138,143
2024-01-08T08:00,23.6,63,0.00,959.9,6.4,7.9,153,156
2024-01-08T09:00,24.1,62,0.00,959.1,6.0,7.6,147,149
2024-01-08T10:00,24.3,61,0.00,958.6,5.9,7.4,137,137
2024-01-08T11:00,23.9,62,0.00,958.6,6.1,7.9,130,129
2024-01-08T12:00,21.8,77,0.00,958.4,5.4,10.8,127,120
2024-01-08T13:00,19.4,85,0.00,959.0,6.1,14.8,90,90
2024-01-08T14:00,18.9,86,0.00,959.4,7.6,17.7,95,94
2024-01-08T15:00,18.3,87,0.00,959.9,9.1,20.3,97,97
2024-01-08T16:00,17.6,90,0.00,960.1,9.0,20.9,88,94
2024-01-08T17:00,17.0,93,0.00,960.1,8.0,19.8,85,89
2024-01-08T18:00,16.5,94,0.00,959.8,6.9,18.5,99,97
2024-01-08T19:00,16.2,94,0.00,959.4,7.1,18.1,105,103
2024-01-08T20:00,16.0,95,0.00,959.3,7.2,18.6,96,100
2024-01-08T21:00,15.9,95,0.00,958.7,8.7,20.2,95,101
2024-01-08T22:00,15.9,95,0.00,958.1,9.9,21.9,109,110
2024-01-08T23:00,15.7,95,0.00,957.9,8.6,20.6,112,115
2024-01-09T00:00,14.5,97,0.00,958.0,8.0,14.5,82,109
2024-01-09T01:00,15.6,95,0.00,958.9,6.0,17.2,123,127
2024-01-09T02:00,15.4,95,0.00,959.1,5.0,14.9,120,127
2024-01-09T03:00,17.5,90,0.00,960.6,3.4,7.3,32,99
2024-01-09T04:00,19.5,84,0.00,961.7,6.2,8.0,7,10
2024-01-09T05:00,21.5,77,0.00,962.1,7.9,10.0,24,26
2024-01-09T06:00,23.2,71,0.00,961.5,7.4,9.2,43,45
2024-01-09T07:00,24.5,66,0.00,960.5,6.4,7.7,47,49
2024-01-09T08:00,25.1,63,0.10,959.6,5.1,6.4,45,47
2024-01-09T09:00,25.1,63,0.00,959.1,4.6,5.6,45,45
2024-01-09T10:00,25.1,62,0.00,958.9,7.0,8.8,35,35
2024-01-09T11:00,23.8,66,0.30,959.0,4.9,7.1,54,45
2024-01-09T12:00,21.4,78,0.80,959.4,6.3,10.1,336,360
2024-01-09T13:00,20.7,78,0.00,960.0,5.6,15.3,45,45
2024-01-09T14:00,20.1,78,0.00,960.4,10.2,21.4,58,57
2024-01-09T15:00,18.8,84,0.00,961.1,11.2,22.4,40,42
2024-01-09T16:00,17.6,90,0.00,961.3,13.6,24.5,40,41
2024-01-09T17:00,16.9,91,0.00,961.4,12.5,23.4,41,44
2024-01-09T18:00,16.4,92,0.00,961.0,10.9,21.2,46,48
2024-01-09T19:00,15.9,94,0.00,960.6,10.4,20.1,44,47
2024-01-09T20:00,15.4,97,0.00,960.3,9.9,19.9,46,48
2024-01-09T21:00,15.1,98,0.00,959.9,10.2,19.1,42,46
2024-01-09T22:00,14.9,99,0.00,959.5,11.5,18.8,44,47
2024-01-09T23:00,14.8,99,0.00,959.2,11.2,16.8,42,43
2024-01-10T00:00,14.8,99,0.00,959.5,10.4,17.0,34,36
2024-01-10T01:00,15.0,99,0.00,960.3,9.9,15.5,33,36
2024-01-10T02:00,15.0,99,0.00,960.7,10.4,14.9,34,37
2024-01-10T03:00,15.2,98,0.00,961.4,11.0,14.9,32,32
2024-01-10T04:00,15.7,96,0.00,962.1,11.8,14.8,40,39
2024-01-10T05:00,17.0,89,0.00,962.6,10.7,13.5,48,48
2024-01-10T06:00,18.4,83,0.00,962.1,9.7,12.2,45,45
2024-01-10T07:00,20.0,78,0.00,960.8,8.2,10.3,38,36
2024-01-10T08:00,22.0,69,0.00,959.8,7.1,8.7,24,24
2024-01-10T09:00,22.6,67,0.00,959.1,7.9,10.2,24,23
2024-01-10T10:00,22.9,65,0.00,958.6,6.1,7.9,40,39
2024-01-10T11:00,22.7,66,0.00,958.5,6.4,8.1,47,45
2024-01-10T12:00,21.3,74,0.00,958.6,5.6,12.3,40,40
2024-01-10T13:00,19.8,78,0.00,959.3,9.4,19.1,40,44
2024-01-10T14:00,18.5,83,0.00,959.5,8.4,19.1,43,47
2024-01-10T15:00,17.5,88,0.00,960.0,7.9,17.9,60,60
2024-01-10T16:00,16.8,91,0.00,960.4,7.2,17.3,72,69
2024-01-10T17:00,16.2,94,0.00,960.5,6.6,16.6,81,77
2024-01-10T18:00,15.8,95,0.00,960.4,6.8,16.3,87,82
2024-01-10T19:00,15.4,96,0.00,960.1,6.9,16.4,81,81
2024-01-10T20:00,15.2,96,0.00,959.8,6.6,16.3,77,82
2024-01-10T21:00,14.9,97,0.00,959.5,6.5,15.4,71,79
2024-01-10T22:00,14.6,97,0.00,959.2,7.1,16.2,66,73
2024-01-10T23:00,14.4,97,0.00,959.0,7.8,17.5,68,71
2024-01-11T00:00,14.2,98,0.00,959.4,8.3,17.8,72,72
2024-01-11T01:00,14.4,98,0.00,960.6,8.1,17.1,69,75
2024-01-11T02:00,14.3,98,0.00,961.3,8.9,17.1,63,72
2024-01-11T03:00,15.6,93,0.00,962.6,10.6,14.2,62,63
2024-01-11T04:00,17.6,85,0.00,963.5,8.9,12.1,58,60
2024-01-11T05:00,19.7,78,0.00,963.8,9.5,12.6,61,63
2024-01-11T06:00,21.7,72,0.00,963.0,8.7,11.0,66,67
2024-01-11T07:00,23.1,68,0.00,961.8,6.8,8.2,72,75
2024-01-11T08:00,24.0,65,0.00,960.7,5.7,6.8,72,72
2024-01-11T09:00,24.5,62,0.00,959.8,3.2,4.0,27,27
2024-01-11T10:00,24.7,61,0.00,959.5,4.6,5.7,18,18
2024-01-11T11:00,24.4,62,0.00,959.3,5.5,6.8,32,32
2024-01-11T12:00,22.8,72,0.00,959.3,4.6,10.2,45,42
2024-01-11T13:00,20.8,77,0.00,959.2,7.4,16.3,29,28
2024-01-11T14:00,19.7,81,0.00,959.9,8.8,19.6,35,36
2024-01-11T15:00,18.8,83,0.00,960.5,9.2,19.9,42,46
2024-01-11T16:00,17.8,82,0.00,960.8,9.5,20.6,53,54
2024-01-11T17:00,17.1,81,0.00,960.7,8.5,19.5,62,62
2024-01-11T18:00,16.2,83,0.00,960.2,7.4,17.8,67,69
2024-01-11T19:00,15.6,86,0.00,959.8,7.0,17.5,69,71
2024-01-11T20:00,15.1,88,0.00,959.5,7.4,17.9,67,71
2024-01-11T21:00,14.6,88,0.00,959.0,7.4,18.0,67,70
2024-01-11T22:00,14.3,88,0.00,958.6,8.0,18.7,63,67
2024-01-11T23:00,13.8,88,0.00,958.5,8.2,18.7,75,74
2024-01-12T00:00,13.3,89,0.00,958.5,8.0,18.5,82,83
2024-01-12T01:00,13.3,92,0.00,959.5,6.8,17.3,90,94
2024-01-12T02:00,13.3,91,0.00,959.9,8.3,18.4,85,92
2024-01-12T03:00,15.5,84,0.00,961.1,8.7,18.7,73,88
2024-01-12T04:00,18.4,76,0.00,962.2,6.7,16.7,74,83
2024-01-12T05:00,21.3,72,0.00,962.6,8.0,10.9,80,81
2024-01-12T06:00,23.3,68,0.00,961.9,7.9,10.1,93,94
2024-01-12T07:00,24.5,64,0.00,960.8,5.5,7.0,101,102
2024-01-12T08:00,25.3,62,0.00,959.9,4.0,4.8,117,117
2024-01-12T09:00,26.0,58,0.00,959.1,5.2,6.4,196,196
2024-01-12T10:00,26.0,57,0.00,958.6,5.2,6.7,214,216
2024-01-12T11:00,25.7,58,0.00,958.6,3.3,4.3,221,228
2024-01-12T12:00,25.2,59,0.00,959.0,1.8,2.7,349,293
2024-01-12T13:00,21.5,76,0.00,959.0,7.9,9.1,344,326
2024-01-12T14:00,21.0,75,0.00,959.7,6.7,15.6,16,8
2024-01-12T15:00,21.0,72,0.00,960.3,9.2,21.1,26,25
2024-01-12T16:00,20.2,71,0.00,960.7,8.5,18.7,54,50
2024-01-12T17:00,19.3,72,0.00,960.6,11.4,22.0,72,69
2024-01-12T18:00,18.5,71,0.00,960.2,11.8,23.7,70,70
2024-01-12T19:00,17.6,72,0.00,959.6,10.8,23.1,69,72
2024-01-12T20:00,16.9,74,0.00,959.2,9.5,20.8,79,80
2024-01-12T21:00,16.2,77,0.00,958.8,8.3,19.2,95,95
2024-01-12T22:00,15.7,80,0.00,958.0,9.4,20.4,113,111
2024-01-12T23:00,15.4,82,0.00,957.7,8.6,19.6,123,122
2024-01-13T00:00,15.1,85,0.00,957.7,7.7,19.1,131,133
2024-01-13T01:00,15.5,89,0.00,958.7,7.1,18.8,150,151
2024-01-13T02:00,15.5,90,0.00,958.9,7.3,18.2,147,155
2024-01-13T03:00,17.9,83,0.00,960.1,9.0,18.8,157,163
2024-01-13T04:00,20.7,74,0.00,961.3,7.3,12.8,169,169
2024-01-13T05:00,23.5,68,0.00,962.1,6.8,9.7,180,180
2024-01-13T06:00,25.6,61,0.00,961.4,8.4,10.8,205,206
2024-01-13T07:00,27.2,53,0.00,960.5,12.3,16.0,238,239
2024-01-13T08:00,27.7,49,0.00,959.4,13.9,18.7,260,259
2024-01-13T09:00,27.9,47,0.00,958.8,14.0,18.7,269,268
2024-01-13T10:00,27.6,46,0.00,958.3,13.4,18.1,276,276
2024-01-13T11:00,26.9,49,0.00,958.3,11.4,17.3,288,287
2024-01-13T12:00,24.5,58,0.00,958.2,7.2,17.1,307,305
2024-01-13T13:00,21.1,73,0.00,958.0,8.7,14.3,308,309
2024-01-13T14:00,19.8,78,0.00,958.7,9.0,15.6,293,299
2024-01-13T15:00,19.7,75,0.00,959.2,7.6,19.4,295,301
2024-01-13T16:00,18.2,80,0.00,959.4,8.2,17.7,319,322
2024-01-13T17:00,16.7,87,0.00,958.9,9.8,14.7,324,324
2024-01-13T18:00,16.3,88,0.00,958.4,8.5,12.7,324,325
2024-01-13T19:00,16.9,84,0.00,958.3,6.1,9.9,332,327
2024-01-13T20:00,16.9,84,0.00,958.3,4.8,8.2,333,337
2024-01-13T21:00,14.7,92,0.00,957.7,6.8,9.8,295,324
2024-01-13T22:00,14.4,92,0.00,957.0,7.1,10.0,294,322
2024-01-13T23:00,14.1,92,0.00,956.6,5.6,8.2,285,319
2024-01-14T00:00,13.2,95,0.00,957.0,6.7,8.4,286,313
2024-01-14T01:00,13.7,95,0.00,958.7,6.3,14.7,283,292
2024-01-14T02:00,13.6,94,0.00,958.5,7.4,10.4,256,284
2024-01-14T03:00,16.5,87,0.00,959.4,5.1,7.9,231,273
2024-01-14T04:00,20.0,76,0.00,960.8,4.1,7.2,218,243
2024-01-14T05:00,22.7,61,0.00,961.4,4.9,6.0,234,237
2024-01-14T06:00,24.2,47,0.00,960.9,8.3,10.4,270,272
2024-01-14T07:00,25.2,38,0.00,959.9,9.6,12.6,283,283
2024-01-14T08:00,25.8,33,0.00,959.1,10.1,12.9,287,288
2024-01-14T09:00,26.0,30,0.00,958.3,9.9,13.0,289,289
2024-01-14T10:00,25.8,30,0.00,958.1,10.4,13.7,290,293
2024-01-14T11:00,25.0,35,0.00,957.9,8.6,13.9,292,295
2024-01-14T12:00,21.6,54,0.00,957.8,7.2,13.8,297,303
2024-01-14T13:00,18.9,58,0.00,958.1,8.4,14.3,280,288
2024-01-14T14:00,17.9,60,0.00,958.9,8.2,16.3,285,288
2024-01-14T15:00,17.1,60,0.00,959.5,7.0,17.9,291,300
2024-01-14T16:00,16.3,63,0.00,959.5,7.3,17.7,279,297
2024-01-14T17:00,15.8,67,0.00,959.4,7.4,19.2,293,300
2024-01-14T18:00,15.2,71,0.00,959.0,8.2,20.5,319,322
2024-01-14T19:00,14.5,76,0.00,958.9,7.4,18.1,337,347
2024-01-14T20:00,13.7,85,0.00,958.4,6.1,15.5,360,18
2024-01-14T21:00,13.4,91,0.00,957.9,6.0,16.4,17,29
2024-01-14T22:00,13.2,94,0.00,957.5,6.0,16.9,25,34
2024-01-14T23:00,12.6,95,0.00,957.3,6.8,16.1,32,40
2024-01-15T00:00,12.1,96,0.00,957.3,7.6,15.5,45,48
2024-01-15T01:00,12.2,95,0.00,958.3,5.9,15.6,43,50
2024-01-15T02:00,12.1,96,0.00,958.9,5.2,14.8,65,64
2024-01-15T03:00,14.5,89,0.00,959.8,6.5,14.5,71,71
2024-01-15T04:00,17.3,77,0.00,961.2,5.8,9.2,60,64
2024-01-15T05:00,20.2,66,0.00,961.7,6.2,8.1,69,69
2024-01-15T06:00,22.2,57,0.00,960.9,7.3,9.4,70,67
2024-01-15T07:00,23.2,52,0.00,959.9,6.3,7.6,66,65
2024-01-15T08:00,23.9,49,0.00,958.7,4.2,5.2,70,65
2024-01-15T09:00,24.3,47,0.00,957.8,2.9,3.3,83,77
2024-01-15T10:00,24.3,46,0.00,957.4,2.5,2.9,90,83
2024-01-15T11:00,24.0,47,0.00,957.5,3.3,4.0,84,80
2024-01-15T12:00,21.6,70,0.00,957.4,5.9,6.6,101,81
2024-01-15T13:00,19.5,66,0.00,957.3,6.2,6.9,97,81
2024-01-15T14:00,20.3,60,0.00,958.8,4.3,6.1,24,40
2024-01-15T15:00,17.4,74,0.00,958.2,6.5,9.1,34,34
2024-01-15T16:00,15.5,82,0.00,958.2,8.4,11.5,40,46
2024-01-15T17:00,14.7,84,0.00,958.3,8.7,12.0,42,51
2024-01-15T18:00,14.4,83,0.00,957.7,6.1,15.2,50,54
2024-01-15T19:00,13.6,84,0.00,957.0,7.2,16.0,53,54
2024-01-15T20:00,13.2,84,0.00,956.3,6.5,16.1,56,56
2024-01-15T21:00,12.4,87,0.00,955.7,6.6,15.0,77,69
2024-01-15T22:00,12.1,88,0.00,955.2,6.2,15.8,80,78
2024-01-15T23:00,11.8,90,0.00,955.0,6.6,16.9,77,78
2024-01-16T00:00,11.1,92,0.00,955.1,5.8,15.5,90,86
2024-01-16T01:00,11.8,93,0.00,955.9,6.3,14.9,103,110
2024-01-16T02:00,11.9,93,0.00,956.4,6.7,15.6,106,113
2024-01-16T03:00,14.5,83,0.00,957.6,7.1,14.5,114,120
2024-01-16T04:00,18.0,71,0.00,959.2,5.4,10.7,127,130
2024-01-16T05:00,20.8,62,0.00,959.5,7.3,9.4,147,148
2024-01-16T06:00,22.4,56,0.00,958.8,5.2,6.4,164,164
2024-01-16T07:00,23.4,51,0.00,957.7,4.3,5.4,185,188
2024-01-16T08:00,24.2,48,0.00,956.5,5.2,6.4,192,196
2024-01-16T09:00,24.6,47,0.00,955.4,6.2,7.3,187,191
2024-01-16T10:00,24.7,48,0.00,954.9,5.4,6.9,184,189
2024-01-16T11:00,24.4,49,0.00,955.0,4.7,5.9,184,191
2024-01-16T12:00,22.2,70,0.00,954.8,5.8,6.6,176,193
2024-01-16T13:00,19.0,72,0.00,954.6,7.6,8.7,180,197
